Numaranız;Doğum Yılınız;Boyunuz cm olarak;Kilonuz;Ayakkabı Numaranız;Göz Renginiz;Saç Renginiz;Doğum Yeri İlçe;Doğum Yeri İl;Mezun Olduğunuz Lisenin Adı;Mezun Olduğunuz Lisenin Bulunduğu İl;Üniversite Giriş Sınavında Yerleşme Puanız;Üniversite Giriş Sınavında Yerleşme Sıralamanız;Ailenizin İkamet Ettiği İl;Babanızın Eğitim Durumu;Babanızın Mesleği;Annenizin Eğitim Durumu;Annenizin Mesleği;Kardeş Sayısı (Tek Çocuk iseniz 0 Yazınız);Şu anki Not Ortalamanız;İkamet Ettiğiniz İl;İkamet Ettiğiniz İlçe;İkamet Ettiğiniz Mahalle;İkamet Ettiğiniz Yer;Aylık Ortalama Harcamanız TL.;Aylık Ortalama Geliriniz TL.;Her zaman Kulanabileceğiniz Bir Bilgisayara Sahip misiniz;Python İle ilgili Bilgi Düzeyiniz;Çalışma Durumunuz;Cep Telefonunuz ;Kredi Kartınız
35;2004;173;85;40;Mavi;A.kumral;Adapazarı;Sakarya;Atatürk anadolu lisesi;Sakarya;500.000;504.000;Sakarya;İlkokul;Serbest meslek;İlkokul;Özel sektör;3;2,08;Sakarya;Adapazarı;Maltepe ;Aile Yanı;20.000;20.000;Evet;Hiç Yok;Çalışıyorum;Var;Var
36;2004;170;63;36;ela;siyah;eleşkirt;ağrı;nuh mehmetküçükçalık ;bırsa;300;400.000;bursa;ilkokul terk;kepçe öperatörü;ilkokul mezunu;ev hanımı;4;2.8;bursa;inegöl;esentepe;Aile Yanı;4;4;Evet;Hiç Yok;Çalışmıyorum;Var;Yok
37;2003;170;68;42;siyah;siyah;Batı Cakarta;Cakarta;Cakarta Lisesi;Batı Cakarta;-;-;-;Lisans;İş Adamı;Lisans;Kamu Personel;1;2.8;Sakarya;Serdivan;Kemalpaşa Mahallesi;Apart;7000;10.000;Evet;Hiç Yok;Çalışmıyorum;Var;Yok
38;2004;170;65;42;Ela;Kahverengi;Gerze;Sinop;Sinop anadolu lisesi;Sinop;314.687;525.324;Sinop;Lise;Serbest;Lise;Tekstil elemanı;3;2.52;Sakarya;Serdivan;Kemalpasa;Diğer;8.000;10000;Hayır;Hiç Yok;Çalışıyorum;Var;Var
39;2005;168;54;37;Kahverengi;Siyah;Geyve;Sakarya;Geyve Anadolu lisesi;Sakarya;440 bin;440 bin;Sakarya;Ortaokul ;İşçi;İlkokul;Ev hanımı;2;2,39;Sakarya;Geyve;Tepecikler;Aile Yanı;10.000;;Evet;Hiç Yok;Çalışıyorum;Var;Var
40;2004;167;75;39;ela;kahverengi;izmit;kocaeli;Yahya Kaptan Anadolu Lisesi;Kocaeli;350;400.000;Kocaeli ;ilköğretim;emekli;ilköğretim;ev hanımı;2;2.32;kocaeli;izmit;28 haziran mahallesi ;Aile Yanı;15000;0;Evet;Hiç Yok;Çalışmıyorum;Var;Yok
41;2004;171;53;39;Kahve;Kahve;Bandırma;Balıkesir;Mithatpaşa Anadolu lisesi;Sakarya;;;Sakarya;Üniversite;Makina mühendisi;Lise;Ev hanımı;Bir;2.30;Sakarya;Serdivan;Bahçelievler;Aile Yanı;15;15;Evet;Hiç Yok;Çalışıyorum;Var;Var
42;2004;174;75;39;Kahverengi;Kumral;İzmit ;Kocaeli;Tevfik seno arda anadolu lisesi;Kocaeli;;;Kocaeli;Lise mezunu;Üretim sorumlusu;Üniversite mezunu;Muhasebe müdürü;2;2,07;Kocaeli;İzmit;Tepecik mahallesi;Aile Yanı;10;10;Evet;Hiç Yok;Çalışmıyorum;Var;Yok
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
